2016-12-01,"34,800","35,060","34,660","34,980","15,535,350"
2016-12-02,"34,480","34,760","34,140","34,540","15,352,950"
2016-12-05,"34,340","34,680","34,220","34,360","8,484,600"
2016-12-06,"34,440","35,200","34,400","34,960","14,001,800"
2016-12-07,"35,040","35,480","35,040","35,440","9,603,650"
2016-12-08,"35,980","36,020","35,520","35,800","16,462,550"
2016-12-09,"35,900","35,900","35,400","35,600","10,652,450"
2016-12-12,"34,660","35,360","34,660","35,040","11,414,450"
2016-12-13,"34,620","35,440","34,620","35,320","11,684,450"
2016-12-14,"35,560","35,680","35,280","35,540","7,455,100"
2016-12-15,"34,820","35,500","34,820","35,180","5,773,550"
2016-12-16,"35,300","36,020","35,200","35,860","11,747,700"
2016-12-19,"35,620","36,380","35,620","35,900","5,435,800"
2016-12-20,"35,920","36,400","35,840","36,240","7,615,200"
2016-12-21,"36,360","36,600","36,020","36,100","6,552,100"
2016-12-22,"36,260","36,300","35,980","36,180","6,354,600"
2016-12-23,"36,020","36,080","35,600","35,640","8,334,850"
2016-12-26,"35,600","36,000","35,560","35,960","4,823,600"
2016-12-27,"35,980","36,200","35,860","35,980","4,653,450"
2016-12-28,"35,840","35,980","35,600","35,760","6,662,900"
2016-12-29,"35,420","36,040","35,400","36,040","7,516,450"
2017-01-02,"35,980","36,240","35,880","36,100","4,650,600"
2017-01-03,"36,280","36,620","36,020","36,480","7,357,650"
2017-01-04,"36,500","36,520","36,100","36,160","7,971,750"
2017-01-05,"36,060","36,060","35,540","35,560","10,967,450"
2017-01-06,"36,180","36,440","36,040","36,200","8,880,950"
2017-01-09,"36,600","37,500","36,560","37,220","13,194,900"
2017-01-10,"37,280","37,400","37,080","37,240","9,099,800"
2017-01-11,"37,520","38,560","37,420","38,280","12,018,150"
2017-01-12,"38,000","38,800","37,980","38,800","11,669,150"
2017-01-13,"38,100","38,320","37,460","37,460","15,954,450"
2017-01-16,"36,860","37,820","36,320","36,660","16,611,500"
2017-01-17,"36,580","37,460","36,580","36,960","8,150,700"
2017-01-18,"37,040","37,500","36,620","36,940","8,875,400"
2017-01-19,"37,720","37,920","37,020","37,480","9,418,900"
2017-01-20,"37,120","37,420","36,880","37,200","9,185,000"
2017-01-23,"37,200","38,060","37,000","38,060","8,810,400"
2017-01-24,"38,120","38,580","37,880","38,160","11,048,750"
2017-01-25,"38,340","39,400","38,320","39,400","13,433,850"
2017-01-26,"39,420","40,000","39,420","39,900","15,214,500"
2017-01-31,"39,900","39,900","39,460","39,460","17,992,200"
2017-02-01,"39,540","39,660","39,040","39,120","14,150,400"
2017-02-02,"39,600","39,660","39,200","39,360","15,029,300"
2017-02-03,"39,400","39,500","39,180","39,460","10,386,350"
2017-02-06,"39,580","39,660","39,140","39,560","8,860,700"
2017-02-07,"39,560","39,580","38,760","38,820","14,041,800"
2017-02-08,"38,740","38,780","38,200","38,400","17,092,950"
2017-02-09,"38,780","38,840","38,220","38,400","13,694,150"
2017-02-10,"38,400","38,760","38,300","38,360","11,020,750"
2017-02-13,"37,740","38,060","37,720","37,960","11,102,050"
2017-02-14,"37,960","38,260","37,320","37,580","13,124,150"
2017-02-15,"37,080","37,960","37,080","37,720","14,191,550"
2017-02-16,"37,800","38,360","37,780","38,020","10,226,350"
2017-02-17,"37,560","38,040","37,280","37,860","15,377,450"
2017-02-20,"38,220","38,780","38,160","38,660","7,485,800"
2017-02-21,"38,540","39,560","38,420","38,940","10,562,600"
2017-02-22,"39,000","39,340","38,980","39,300","8,539,450"
2017-02-23,"39,020","39,440","39,020","39,180","10,217,300"
2017-02-24,"38,960","39,100","38,060","38,220","9,296,850"
2017-02-27,"38,020","38,140","37,700","38,060","9,033,700"
2017-02-28,"38,060","38,760","37,960","38,440","15,088,700"
2017-03-02,"38,420","39,860","38,420","39,720","21,249,800"
2017-03-03,"39,340","39,720","39,160","39,620","12,708,700"
2017-03-06,"39,220","40,220","39,220","40,080","12,234,850"
2017-03-07,"39,800","40,320","39,800","40,200","10,553,250"
2017-03-08,"40,200","40,620","40,140","40,200","12,140,950"
2017-03-09,"40,200","40,300","40,020","40,200","14,372,250"
2017-03-10,"39,960","40,420","39,860","40,180","10,227,800"
2017-03-13,"40,040","40,980","40,040","40,600","7,424,100"
2017-03-14,"40,620","41,540","40,500","41,360","11,325,050"
2017-03-15,"40,800","41,440","40,800","41,400","9,587,850"
2017-03-16,"41,800","42,180","41,540","41,840","9,933,150"
2017-03-17,"41,800","42,500","41,720","42,400","12,602,300"
2017-03-20,"42,000","42,120","41,740","41,900","10,250,050"
2017-03-21,"41,780","42,680","41,760","42,560","14,220,150"
2017-03-22,"41,600","42,460","41,580","42,460","16,427,250"
2017-03-23,"42,200","42,360","41,700","41,800","15,397,100"
2017-03-24,"41,600","41,980","41,080","41,500","12,808,150"
2017-03-27,"41,200","41,880","41,180","41,200","12,177,650"
2017-03-28,"41,560","41,840","41,380","41,480","8,216,250"
2017-03-29,"41,740","41,960","41,580","41,780","10,093,250"
2017-03-30,"41,880","42,440","41,880","41,980","8,204,000"
2017-03-31,"41,820","42,020","41,200","41,200","10,500,300"
